state,pop_2020,pop_2021,pop_2022
AK,732441,732673,731721
AL,5024803,5039877,5056005
AR,3012232,3025891,3040000
AS,55197,55100,55005
AZ,7177986,7276316,7408017
CA,39499738,39237836,38959247
CO,5784308,5812069,5855078
CT,3600260,3605597,3609924
DC,690093,670050,657185
DE,991886,1003384,1012615
FL,21569932,21781128,22040323
FSM,115021,116254,114790
GA,10725800,10799566,10852484
GU,168783,170179,171519
HI,1451911,1441553,1433336
IA,3188669,3193079,3196911
ID,1847772,1900923,1981332
IL,12785245,12671469,12518144
IN,6785644,6805985,6831167
KS,2935880,2934582,2928419
KY,4503958,4509394,4519315
LA,4651203,4624047,4576882
MA,7022220,6984723,6962372
MD,6172679,6165129,6157731
ME,1362280,1372247,1381441
MI,10067664,10050811,10032720
MN,5707165,5707390,5702253
MO,6154481,6168187,6180523
MP,47329,51659,58092
MS,2956870,2949965,2940820
MT,1086193,1104271,1125473
NC,10457177,10551162,10678831
ND,778962,774948,770221
NE,1961455,1963692,1966441
NH,1377848,1388992,1405243
NJ,9279743,9267130,9242109
NM,2117566,2115877,2113550
NV,3114071,3143991,3201212
NY,11350743,11012354,10563659
NYC,8804190,8823559,8851733
OH,11790587,11780017,11767059
OK,3962031,3986639,4018931
OR,4241544,4246155,4259743
PA,12989625,12964056,12916089
PR,2860853,2828255,2829812
PW,18092,18169,18233
RI,1096229,1095610,1094843
RMI,59194,59610,60057
SC,5130729,5190705,5259222
SD,887099,895376,905404
TN,6920119,6975218,7059618
TX,29217653,29527941,29947238
UT,3281684,3337975,3426431
VA,8632044,8642274,8662151
VI,104425,104226,104084
VT,642495,645570,647378
WA,7718785,7738692,7765004
WI,5892323,5895908,5903573
WV,1789798,1782959,1773866
WY,577267,578803,581813